code,codeName,peTTM,pbMRQ,close,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,4.10375,0.361036,7.0,J66货币金融服务,0.04590305555555555,0.024155019606144034,18,0.5262181202057388,0.505,0.0,0.07214285714285715,1.0,2.0,14.0,216.0,109.0,17.0
sh.601818,光大银行,5.351421,0.433608,3.65,J66货币金融服务,0.05373622222222222,0.02450689649527384,18,0.45605916236402627,0.29400000000000004,0.0,0.08054794520547946,7.0,5.0,6.0,193.0,51.0,18.0
sh.600016,民生银行,5.957479,0.321791,4.13,J66货币金融服务,0.042804611111111106,0.015324651625015968,18,0.3580140369745828,0.328,0.0,0.07941888619854721,14.0,1.0,8.0,227.0,13.0,23.0
sz.000001,平安银行,5.270265,0.507266,11.71,J66货币金融服务,0.0640136111111111,0.02814930846113043,18,0.43973942373396957,0.844,0.0,0.07207514944491887,5.0,10.0,15.0,160.0,36.0,30.0
sh.601229,上海银行,5.91453,0.592965,10.01,J66货币金融服务,0.06362511111111112,0.029004622677994106,18,0.45586753675513675,0.8,0.0,0.07992007992007992,12.0,15.0,7.0,163.0,50.0,34.0
sh.601166,兴业银行,5.857424,0.581778,21.39,J66货币金融服务,0.07017766666666665,0.032488865555122474,18,0.46295163544606993,1.625,0.0,0.07597007947639084,11.0,14.0,11.0,146.0,60.0,36.0
sh.601169,北京银行,4.68029,0.435958,5.73,J66货币金融服务,0.05284533333333333,0.022573699420551603,18,0.42716542779970995,0.32,0.0,0.05584642233856893,2.0,6.0,46.0,195.0,31.0,54.0
sh.601998,中信银行,6.21973,0.607291,7.84,J66货币金融服务,0.058307166666666674,0.026031479737493396,18,0.4464542049575391,0.5427,0.0,0.0692219387755102,17.0,17.0,22.0,178.0,44.0,56.0
sh.601919,中远海控,5.972627,0.97845,14.67,G55水上运输业,0.3093039444444445,0.30284762913822494,18,0.9791263078852226,2.11,0.0,0.1438309475119291,15.0,43.0,2.0,3.0,248.0,60.0
sh.601328,交通银行,7.179732,0.599949,7.71,J66货币金融服务,0.05343622222222222,0.02578400542414654,18,0.4825192416657009,0.5353,0.0,0.06942931258106355,25.0,16.0,20.0,194.0,76.0,61.0
sh.601825,沪农商行,7.133727,0.700791,9.15,J66货币金融服务,0.07103855555555555,0.031317605319808865,18,0.44085363328252075,0.673,0.0,0.07355191256830601,24.0,24.0,13.0,141.0,37.0,61.0
sh.601009,南京银行,6.653209,0.786288,11.58,J66货币金融服务,0.08045705555555555,0.03577473866961274,18,0.4446438963318799,0.85177,0.0,0.07355526770293609,21.0,30.0,12.0,121.0,42.0,63.0
sh.601668,中国建筑,4.847395,0.449023,5.24,E48土木工程建筑业,0.08472672222222223,0.04035246886798663,18,0.476266139059997,0.27149999999999996,0.0,0.05181297709923663,3.0,7.0,56.0,110.0,71.0,66.0
sh.600926,杭州银行,5.941138,0.848809,15.57,J66货币金融服务,0.08265377777777777,0.03482460546384436,18,0.42133108008049547,1.0299999999999998,0.0,0.0661528580603725,13.0,33.0,28.0,115.0,27.0,74.0
sh.601390,中国中铁,5.393584,0.423955,5.42,E48土木工程建筑业,0.05807955555555555,0.030458817763589507,18,0.5244326936085859,0.26,0.0,0.04797047970479705,8.0,4.0,63.0,179.0,106.0,75.0
sh.601916,浙商银行,6.084001,0.478354,3.09,J66货币金融服务,0.05608255555555556,0.021501170381885027,18,0.38338428356007953,0.156,0.0,0.05048543689320389,16.0,9.0,57.0,187.0,18.0,82.0
sh.601658,邮储银行,7.972099,0.685975,5.79,J66货币金融服务,0.06379983333333333,0.028699030133745758,18,0.449829233625152,0.3846,0.0,0.06642487046632124,34.0,22.0,26.0,162.0,46.0,82.0
sh.601186,中国铁建,4.921023,0.384721,7.73,E48土木工程建筑业,0.050366777777777774,0.026543240811386273,18,0.5269989858890152,0.3,0.0,0.03880983182406209,4.0,3.0,83.0,202.0,110.0,90.0
sh.601939,建设银行,7.533907,0.73983,9.71,J66货币金融服务,0.06890922222222222,0.032955771315606244,18,0.4782490681628748,0.5888,0.0,0.06063851699279093,30.0,25.0,37.0,149.0,74.0,92.0
sh.601838,成都银行,5.415555,0.850051,17.01,J66货币金融服务,0.09713427777777778,0.04988359314715854,18,0.5135529319658032,0.891,0.0,0.052380952380952375,9.0,34.0,54.0,83.0,99.0,97.0
sh.601077,渝农商行,6.261517,0.566253,6.56,J66货币金融服务,0.06510711111111113,0.025054455587987887,18,0.38481903374932747,0.3046,0.0,0.04643292682926829,18.0,12.0,67.0,156.0,19.0,97.0
sh.600919,江苏银行,5.812781,0.779061,10.83,J66货币金融服务,0.07673627777777778,0.03419928769262609,18,0.4456730073833466,0.5206,0.0,0.048070175438596485,10.0,29.0,61.0,132.0,43.0,100.0
sh.600219,南山铝业,10.745103,1.056035,4.73,C32有色金属冶炼和压延加工业,0.04855388888888888,0.026061842846874114,18,0.5367611831570124,0.4683999999999999,0.0,0.0990274841437632,49.0,50.0,4.0,207.0,118.0,103.0
sh.601988,中国银行,8.292597,0.743547,6.17,J66货币金融服务,0.05690366666666666,0.027695821504760052,18,0.486714180774995,0.3518,0.0,0.05701782820097245,35.0,26.0,45.0,185.0,81.0,106.0
sh.600023,浙能电力,9.310084,0.903838,5.06,D44电力、热力生产和供应业,0.037442722222222224,0.040338518124092164,18,1.0773393527501398,0.33999999999999997,0.0,0.06719367588932806,42.0,40.0,25.0,236.0,254.0,107.0
sh.601398,工商银行,7.929944,0.760578,8.16,J66货币金融服务,0.060712499999999996,0.030653634449614425,18,0.5048982408830871,0.4494,0.0,0.05507352941176471,33.0,27.0,48.0,169.0,96.0,108.0
sz.000651,格力电器,7.129702,1.564174,40.33,C38电气机械和器材制造业,0.1353176111111111,0.07996581039723745,18,0.5909490253384422,4.0,0.0,0.09918175055789735,23.0,91.0,3.0,39.0,157.0,117.0
sh.601800,中国交建,6.666155,0.471252,8.5,E48土木工程建筑业,0.04491883333333333,0.021733572693632585,18,0.48384098786253543,0.30166000000000004,0.0,0.03548941176470589,22.0,8.0,95.0,219.0,78.0,125.0
sh.601318,中国平安,7.659679,1.089316,59.34,J68保险业,0.08043311111111112,0.03518440777638815,18,0.4374368626346437,3.5,0.0,0.058982136838557464,31.0,53.0,42.0,122.0,35.0,126.0
sh.601857,中国石油,11.397517,1.156743,9.85,B07石油和天然气开采业,0.0655585,0.031033244230037837,18,0.47336720989708175,0.6900000000000001,0.0,0.0700507614213198,51.0,60.0,19.0,155.0,67.0,130.0
sz.002142,宁波银行,6.526951,0.864702,28.53,J66货币金融服务,0.08411594444444444,0.03992966900095897,18,0.4746979810389109,1.2,0.0,0.042060988433228176,20.0,36.0,77.0,113.0,68.0,133.0
sh.601117,中国化学,7.44963,0.691513,7.42,E48土木工程建筑业,0.058078722222222226,0.030158437597628714,18,0.5192682697500776,0.28600000000000003,0.0,0.038544474393531,29.0,23.0,84.0,180.0,104.0,136.0
sh.600000,浦发银行,7.922008,0.552083,11.62,J66货币金融服务,0.04485922222222222,0.017697301185260708,18,0.39450753509707254,0.41,0.0,0.035283993115318414,32.0,11.0,96.0,220.0,22.0,139.0
sh.600036,招商银行,7.3114,0.999465,43.19,J66货币金融服务,0.08882900000000002,0.04236897081869342,18,0.4769722817851536,2.0,0.0,0.0463070155128502,28.0,45.0,68.0,97.0,72.0,141.0
sh.600018,上港集团,8.833686,0.909453,5.47,G55水上运输业,0.08795194444444444,0.04437635236378018,18,0.504552260260839,0.245,0.0,0.044789762340036565,39.0,41.0,71.0,100.0,95.0,151.0
sh.601006,大秦铁路,16.668151,0.667099,5.51,G53铁路运输业,0.056418222222222224,0.027750548426071015,18,0.49187208198028837,0.34924,0.0,0.06338294010889292,98.0,21.0,34.0,186.0,83.0,153.0
sh.601898,中煤能源,10.549251,1.152599,13.68,B06煤炭开采和洗选业,0.09057888888888889,0.042571482201239574,18,0.46999342477540285,0.758,0.0,0.0554093567251462,47.0,59.0,47.0,92.0,63.0,153.0
sh.600027,华电国际,9.153103,1.237962,5.19,D44电力、热力生产和供应业,0.03330983333333334,0.03556127355664569,18,1.06759085825444,0.3,0.0,0.05780346820809248,40.0,71.0,44.0,247.0,252.0,155.0
sh.600741,华域汽车,8.81214,0.9401,19.3,C36汽车制造业,0.06904761111111112,0.040044757780056534,18,0.579958627614454,0.8,0.0,0.04145077720207254,38.0,42.0,80.0,148.0,152.0,160.0
sh.601298,青岛港,10.03746,1.213417,8.48,G55水上运输业,0.0760698888888889,0.03492729285730386,18,0.4591474151923665,0.46070000000000005,0.0,0.054327830188679246,44.0,68.0,49.0,134.0,56.0,161.0
sh.601288,农业银行,9.82383,1.035187,8.1,J66货币金融服务,0.060317222222222217,0.028550762368631515,18,0.4733434550988453,0.3614,0.0,0.04461728395061729,43.0,48.0,73.0,171.0,66.0,164.0
sh.600585,海螺水泥,13.618282,0.629626,22.62,C30非金属矿物制品业,0.05379527777777778,0.04755573862669011,18,0.8840132552737714,0.95,0.0,0.041998231653404064,71.0,19.0,78.0,192.0,241.0,168.0
sh.600938,中国海油,10.828907,1.698966,28.08,B07石油和天然气开采业,0.1307229375,0.06447385596190004,16,0.4932099690760089,1.9477100000000003,0.0,0.06936289173789176,50.0,106.0,21.0,44.0,84.0,177.0
sz.000338,潍柴动力,12.454444,1.573152,16.98,C36汽车制造业,0.07403494444444446,0.04186605880307596,18,0.5654905142056544,1.077,0.0,0.06342756183745582,61.0,93.0,33.0,138.0,140.0,187.0
sz.000157,中联重科,16.103934,1.187729,8.01,C35专用设备制造业,0.05094655555555556,0.03088326409566538,18,0.6061894422281048,0.5,0.0,0.062421972534332085,93.0,63.0,35.0,200.0,163.0,191.0
sz.001965,招商公路,13.277301,1.027834,10.11,G54道路运输业,0.05187094444444445,0.02720640096930526,18,0.5245017468005473,0.417,0.0,0.04124629080118694,66.0,47.0,81.0,196.0,107.0,194.0
sh.600019,宝钢股份,16.59173,0.76677,7.19,C31黑色金属冶炼和压延加工业,0.044041000000000004,0.03396173610195485,18,0.7711390772678832,0.33,0.0,0.0458970792767733,97.0,28.0,70.0,223.0,221.0,195.0
sh.601601,中国太保,6.441126,1.186526,35.05,J68保险业,0.08632677777777778,0.03899518399005575,18,0.45171596802138353,1.08,0.0,0.03081312410841655,19.0,62.0,114.0,103.0,47.0,195.0
sh.601336,新华保险,5.332454,2.037631,65.65,J68保险业,0.10110083333333335,0.061502291686857447,18,0.608326258638067,3.1999999999999997,0.0,0.04874333587204874,6.0,131.0,60.0,78.0,166.0,197.0
sh.600028,中国石化,19.515196,0.846631,5.81,B07石油和天然气开采业,0.05156111111111111,0.02418617123576511,18,0.46907777420943003,0.374,0.0,0.06437177280550775,136.0,32.0,32.0,197.0,62.0,200.0
